CountryCode,Year,total_population
GMB,1974,505512
GEO,1974,4279500
DEU,1974,78967433
GHA,1974,9604280
GRC,1974,8962022
GRL,1974,49500
GRD,1974,93151
GUM,1974,91381
GTM,1974,6069077
GIN,1974,4340748
GNB,1974,764974
GUY,1974,730227
HTI,1974,5047948
HND,1974,3015606
HKG,1974,4334200
HUN,1974,10478720
ISL,1974,215209
IND,1974,607446519
IDN,1974,127465232
IRN,1974,31784896
IRQ,1974,11312304
IRL,1974,3137500
IMY,1974,60098
ISR,1974,3377000
ITA,1974,55110868
JAM,1974,1985852
JPN,1974,110162000
JOR,1974,1747710
KAZ,1974,13577049
KEN,1974,12997447
KIR,1974,54382
PRK,1974,15960127
KOR,1974,34692266
KSV,1974,1339000
KWT,1974,988267
KGZ,1974,3223900
LAO,1974,2987544
LVA,1974,2437186
LBN,1974,2535503
LSO,1974,1122484
LBR,1974,1582584
LBY,1974,2514373
LIE,1974,22984
LTU,1974,3273894
LUX,1974,355050
MAC,1974,250550
MKD,1974,1784395
MDG,1974,7360271
MWI,1974,5141138
MYS,1974,12025930
MDV,1974,132122
MLI,1974,6368351
MLT,1974,301996
MHL,1974,24536
MRT,1974,1290755
MUS,1974,878042
MEX,1974,59090495
FSM,1974,62477
MDA,1974,3215000
MCO,1974,24835
MNG,1974,1438423
MNE,1974,544263
MAR,1974,17466606
MOZ,1974,10141147
MMR,1974,29916827
"NAM",1974,881530
NPL,1974,13028248
NLD,1974,13545056
NCL,1974,131000
NZL,1974,3023700
NIC,1974,2711847
NER,1974,5026744
NGA,1974,61857023
MNP,1974,14978
NOR,1974,3985258
OMN,1974,841947
PAK,1974,64873705
PLW,1974,12195
PAN,1974,1699114
PNG,1974,2730859
PRY,1974,2723523
PER,1974,14832839
PHL,1974,40149959
POL,1974,33678899
PRT,1974,8754365
PRI,1974,2939299
QAT,1974,153593
ROM,1974,21029429
RUS,1974,133432000
RWA,1974,4226836
WSM,1974,150219
SMR,1974,19565
STP,1974,80670
SAU,1974,7045477
SEN,1974,4764623
SRB,1974,NA
SYC,1974,58466
SLE,1974,2709797
SGP,1974,2229800
SXM,1974,NA
SVK,1974,4689623
SVN,1974,1776132
SLB,1974,186338
SOM,1974,3644572
ZAF,1974,24189837
SSD,1974,4015271
ESP,1974,35154338
LKA,1974,13284000
KNA,1974,44327
LCA,1974,108534
MAF,1974,6078
VCT,1974,94572
SDN,1974,11668674
SUR,1974,365104
SWZ,1974,501596
SWE,1974,8159955
CHE,1974,6341405
SYR,1974,7311685
TJK,1974,3313144
TZA,1974,15477155
THA,1974,41259539
TMP,1974,661528
TGO,1974,2356623
TON,1974,87609
TTO,1974,997052
TUN,1974,5493722
TUR,1974,38272701
TKM,1974,2452528
TCA,1974,6346
TUV,1974,7613
UGA,1974,10533627
UKR,1974,48455120
ARE,1974,451948
GBR,1974,56229974
USA,1974,213854000
URY,1974,2824069
UZB,1974,13578783
VUT,1974,96793
VEN,1974,12994025
VNM,1974,46918000
VIR,1974,90000
WBG,1974,NA
YEM,1974,6626208
ZMB,1974,4810810
ZWE,1974,5967861
ARB,1975,139939303
CSS,1975,5178940
CEB,1975,102862489
EAS,1975,1442562668
EAP,1975,1254860626
EMU,1975,296017540
ECS,1975,767091297
ECA,1975,197631051
EUU,1975,454638308
FCS,1975,175976534
HPC,1975,237918910
HIC,1975,1068340087
NOC,1975,227123524
OEC,1975,841216563
LCN,1975,325120067
LAC,1975,267558550
LDC,1975,347328806
LMY,1975,2997398990
LIC,1975,224587750
LMC,1975,1333757819
MEA,1975,158887288
MNA,1975,144803846
MIC,1975,2772811240
"NAC",1975,239235000
OED,1975,941274599
OSS,1975,9064866
PSS,1975,1273508
SST,1975,15517314
SAS,1975,799620311
SSF,1975,333222446
SSA,1975,332924606
UMC,1975,1439053421
WLD,1975,4065739077
AFG,1975,12582954
ALB,1975,2404831
DZA,1975,16709098
ASM,1975,29932
ADO,1975,30706
AGO,1975,7107334
ATG,1975,69253
ARG,1975,26066975
ARM,1975,2825650
ABW,1975,60655
AUS,1975,13893000
AUT,1975,7578903
AZE,1975,5693796
BHS,1975,188882
BHR,1975,266686
BGD,1975,71247153
BRB,1975,246033
BLR,1975,9367000
BEL,1975,9800700
BLZ,1975,133261
BEN,1975,3262959
BMU,1975,53000
BTN,1975,349146
BOL,1975,5009259
BIH,1975,3971608
BWA,1975,822029
BRA,1975,108431284
BRN,1975,160799
BGR,1975,8720742
BFA,1975,6154548
BDI,1975,3676991
CPV,1975,272575
KHM,1975,7551988
CMR,1975,7740196
CAN,1975,23209000
CYM,1975,12238
CAF,1975,2017379
TCD,1975,4088858
CHI,1975,126417
CHL,1975,10420590
CHN,1975,916395000
COL,1975,24756969
COM,1975,256309
ZAR,1975,22902275
COG,1975,1556406
CRI,1975,2097410
CIV,1975,6606395
HRV,1975,4514000
CUB,1975,9438445
CUW,1975,149129
CYP,1975,649755
CZE,1975,10058620
DNK,1975,5059862
DJI,1975,224182
DMA,1975,72091
DOM,1975,5149934
ECU,1975,6987393
EGY,1975,38624410
SLV,1975,4147525
GNQ,1975,238240
ERI,1975,2070145
EST,1975,1429352
ETH,1975,32568539
FRO,1975,40529
FJI,1975,576592
FIN,1975,4711440
FRA,1975,54252574
PYF,1975,130619
GAB,1975,649719
GMB,1975,521070
GEO,1975,4311200
DEU,1975,78673554
GHA,1975,9831409
GRC,1975,9046541
GRL,1975,49600
GRD,1975,92453
GUM,1975,93354
GTM,1975,6237963
GIN,1975,4359735
GNB,1975,778482
GUY,1975,740167
HTI,1975,5140357
HND,1975,3107735
HKG,1975,4461600
HUN,1975,10540525
ISL,1975,217979
IND,1975,621703641
IDN,1975,130724118
IRN,1975,32730555
IRQ,1975,11684585
IRL,1975,3189550
IMY,1975,60941
ISR,1975,3455000
ITA,1975,55441001
JAM,1975,2013000
JPN,1975,111940000
JOR,1975,1810000
KAZ,1975,13756789
KEN,1975,13486241
KIR,1975,55169
PRK,1975,16274740
KOR,1975,35280725
KSV,1975,1369000
KWT,1975,1051187
KGZ,1975,3292400
LAO,1975,3047864
LVA,1975,2456130
LBN,1975,2575693
LSO,1975,1149090
LBR,1975,1628656
LBY,1975,2621730
LIE,1975,23435
LTU,1975,3301652
LUX,1975,358950
MAC,1975,248213
MKD,1975,1803009
MDG,1975,7575757
MWI,1975,5292816
MYS,1975,12311782
MDV,1975,136434
MLI,1975,6482276
MLT,1975,304222
MHL,1975,25580
MRT,1975,1328687
MUS,1975,892000
MEX,1975,60872399
FSM,1975,63146
MDA,1975,3251000
MCO,1975,25201
MNG,1975,1479650
MNE,1975,549002
MAR,1975,17854614
MOZ,1975,10405000
MMR,1975,30640635
"NAM",1975,905647
NPL,1975,13313487
NLD,1975,13666335
NCL,1975,132500
NZL,1975,3083100
NIC,1975,2796748
NER,1975,5171029
NGA,1975,63565598
MNP,1975,15232
NOR,1975,4007313
OMN,1975,882044
PAK,1975,66791496
PLW,1975,12280
PAN,1975,1745207
PNG,1975,2809692
PRY,1975,2790964
PER,1975,15229951
PHL,1975,41295129
POL,1975,34015199
PRT,1975,9093470
PRI,1975,2994000
QAT,1975,164333
ROM,1975,21293583
RUS,1975,134200000
RWA,1975,4359166
WSM,1975,151383
SMR,1975,19732
STP,1975,82607
SAU,1975,7428705
SEN,1975,4900491
SRB,1975,NA
SYC,1975,59600
SLE,1975,2765914
SGP,1975,2262600
SXM,1975,NA
SVK,1975,4739105
SVN,1975,1793581
SLB,1975,193447
SOM,1975,3880955
ZAF,1975,24728000
SSD,1975,4117299
ESP,1975,35530725
LKA,1975,13496000
KNA,1975,44278
LCA,1975,109770
MAF,1975,6291
VCT,1975,95614
SDN,1975,12075841
SUR,1975,362651
SWZ,1975,517100
SWE,1975,8192437
CHE,1975,6338632
SYR,1975,7564000
TJK,1975,3412819
TZA,1975,15980265
THA,1975,42334954
TMP,1975,661634
TGO,1975,2410446
TON,1975,88347
TTO,1975,1011487
TUN,1975,5611000
TUR,1975,39185637
TKM,1975,2520002
TCA,1975,6546
TUV,1975,7685
UGA,1975,10827071
UKR,1975,48758986
ARE,1975,531265
GBR,1975,56225800
USA,1975,215973000
URY,1975,2830172
UZB,1975,13980997
VUT,1975,99879
VEN,1975,13360988
VNM,1975,48030000
VIR,1975,94000
WBG,1975,NA
YEM,1975,6793979
ZMB,1975,4983017
ZWE,1975,6170284
ARB,1976,144379199
CSS,1976,5237098
CEB,1976,103770134
EAS,1976,1466831110
EAP,1976,1277136144
EMU,1976,297374619
ECS,1976,772631984
ECA,1976,200368874
EUU,1976,456802618
FCS,1976,180975546
HPC,1976,244306047
HIC,1976,1077258111
NOC,1976,230076609
OEC,1976,847181502
LCN,1976,332817916
LAC,1976,274219905
LDC,1976,355839316
LMY,1976,3061268276
LIC,1976,229867681
LMC,1976,1365895464
MEA,1976,163558659
MNA,1976,148752030
MIC,1976,2831400595
"NAC",1976,241606200
OED,1976,949902285
OSS,1976,9260442
PSS,1976,1299788
SST,1976,15797328
SAS,1976,818590962
SSF,1976,342489556
SSA,1976,342200361
UMC,1976,1465505131
WLD,1976,4138526387
AFG,1976,12831361
ALB,1976,2458526
DZA,1976,17190236
ASM,1976,30325
ADO,1976,31781
AGO,1976,7299508
ATG,1976,69782
ARG,1976,26477153
ARM,1976,2882831
ABW,1976,60589
AUS,1976,14033000
AUT,1976,7565525
AZE,1976,5789050
BHS,1976,192905
BHR,1976,283843
BGD,1976,72930206
BRB,1976,247444
BLR,1976,9411000
BEL,1976,9818227
BLZ,1976,135145
BEN,1976,3345501
BMU,1976,53200
BTN,1976,361862
BOL,1976,5119833
BIH,1976,4008411
BWA,1976,853860
BRA,1976,111076063
BRN,1976,167283
BGR,1976,8758599
BFA,1976,6274037
BDI,1976,3744696
CPV,1976,273625
KHM,1976,7431505
CMR,1976,7959500
CAN,1976,23518000
CYM,1976,13020
CAF,1976,2061552
TCD,1976,4173070
CHI,1976,126906
CHL,1976,10584237
CHN,1976,930685000
COL,1976,25323412
COM,1976,265234
ZAR,1976,23556784
COG,1976,1603446
CRI,1976,2151492
CIV,1976,6916302
HRV,1976,4530000
CUB,1976,9544268
CUW,1976,149399
CYP,1976,657526
CZE,1976,10125939
DNK,1976,5072596
DJI,1976,248619
DMA,1976,72648
DOM,1976,5280727
ECU,1976,7179399
EGY,1976,39478585
SLV,1976,4239205
GNQ,1976,228491
ERI,1976,2128597
EST,1976,1439576
ETH,1976,33144537
FRO,1976,40974
FJI,1976,587523
FIN,1976,4725664
FRA,1976,54541493
PYF,1976,134743
GAB,1976,663774
GMB,1976,536409
GEO,1976,4342400
DEU,1976,78336950
GHA,1976,10023471
GRC,1976,9188150
GRL,1976,49700
GRD,1976,91435
GUM,1976,95386
GTM,1976,6408029
GIN,1976,4376768
GNB,1976,791959
GUY,1976,751008
HTI,1976,5238242
HND,1976,3204883
HKG,1976,4518000
HUN,1976,10598677
ISL,1976,220154
IND,1976,636182810
IDN,1976,134010695
IRN,1976,33739231
IRQ,1976,12068195
IRL,1976,3238050
IMY,1976,61900
ISR,1976,3533000
ITA,1976,55718260
JAM,1976,2037716
JPN,1976,112771000
JOR,1976,1876274
KAZ,1976,13920105
KEN,1976,13995974
KIR,1976,55980
PRK,1976,16539029
KOR,1976,35848523
KSV,1976,1400000
KWT,1976,1115463
KGZ,1976,3358700
LAO,1976,3094940
LVA,1976,2470989
LBN,1976,2598362
LSO,1976,1177975
LBR,1976,1676016
LBY,1976,2730373
LIE,1976,23926
LTU,1976,3328664
LUX,1976,360731
MAC,1976,245915
MKD,1976,1825554
MDG,1976,7799642
MWI,1976,5454839
MYS,1976,12599655
MDV,1976,140582
MLI,1976,6596817
MLT,1976,305774
MHL,1976,26549
MRT,1976,1367640
MUS,1976,906507
MEX,1976,62620087
FSM,1976,64386
MDA,1976,3284000
MCO,1976,25521
MNG,1976,1520865
MNE,1976,553970
MAR,1976,18262366
MOZ,1976,10693688
MMR,1976,31379308
"NAM",1976,928228
NPL,1976,13608670
NLD,1976,13774037
NCL,1976,134000
NZL,1976,3110500
NIC,1976,2884156
NER,1976,5320869
NGA,1976,65426976
MNP,1976,15316
NOR,1976,4026152
OMN,1976,927439
PAK,1976,68818471
PLW,1976,12284
PAN,1976,1791459
PNG,1976,2888509
PRY,1976,2861582
PER,1976,15639898
PHL,1976,42461189
POL,1976,34356300
PRT,1976,9355810
PRI,1976,3043854
QAT,1976,173759
ROM,1976,21551634
RUS,1976,135147000
RWA,1976,4499720
WSM,1976,152390
SMR,1976,19981
STP,1976,84889
SAU,1976,7845300
SEN,1976,5031849
SRB,1976,NA
SYC,1976,60704
SLE,1976,2824827
SGP,1976,2293300
SXM,1976,NA
SVK,1976,4789507
SVN,1976,1820249
SLB,1976,200642
SOM,1976,4259636
ZAF,1976,25268094
SSD,1976,4222056
ESP,1976,35939437
LKA,1976,13717000
KNA,1976,44142
LCA,1976,111211
MAF,1976,6530
VCT,1976,96639
SDN,1976,12506035
SUR,1976,361368
SWZ,1976,533264
SWE,1976,8222286
CHE,1976,6302504
SYR,1976,7822610
TJK,1976,3511050
TZA,1976,16493435
THA,1976,43386846
TMP,1976,650490
TGO,1976,2464457
TON,1976,89258
TTO,1976,1025655
TUN,1976,5742339
TUR,1976,40100696
TKM,1976,2587417
TCA,1976,6723
TUV,1976,7752
UGA,1976,11139772
UKR,1976,49036202
ARE,1976,622051
GBR,1976,56211968
USA,1976,218035000
URY,1976,2841436
UZB,1976,14374729
VUT,1976,103024
VEN,1976,13739142
VNM,1976,49158000
VIR,1976,96000
WBG,1976,NA
YEM,1976,6994840
ZMB,1976,5160570
ZWE,1976,6373956
ARB,1977,149151171
CSS,1977,5293790
CEB,1977,104589313
EAS,1977,1489751299
EAP,1977,1297790313
EMU,1977,298597020
ECS,1977,777921924
ECA,1977,203012115
EUU,1977,458746586
FCS,1977,186205628
HPC,1977,250860495
HIC,1977,1086452483
NOC,1977,233083282
OEC,1977,853369201
LCN,1977,340569396
LAC,1977,280940756
LDC,1977,364711975
LMY,1977,3124619676
LIC,1977,235165093
LMC,1977,1398936476
MEA,1977,168489996
MNA,1977,152907442
MIC,1977,2889454583
"NAC",1977,244088400
OED,1977,958727106
OSS,1977,9460805
PSS,1977,1326399
SST,1977,16080994
SAS,1977,838141522
SSF,1977,352109622
SSA,1977,351827528
UMC,1977,1490518107
WLD,1977,4211072159
AFG,1977,13056499
ALB,1977,2513546
DZA,1977,17690184
ASM,1977,30690
ADO,1977,32769
AGO,1977,7501320
ATG,1977,70223
ARG,1977,26878567
ARM,1977,2938181
ABW,1977,60366
AUS,1977,14192000
AUT,1977,7568430
AZE,1977,5882395
BHS,1977,197118
BHR,1977,303236
BGD,1977,74848466
BRB,1977,248785
BLR,1977,9463000
BEL,1977,9830358
BLZ,1977,136991
BEN,1977,3432262
BMU,1977,53400
BTN,1977,374801
BOL,1977,5233677
BIH,1977,4041623
BWA,1977,887793
BRA,1977,113776467
BRN,1977,173826
BGR,1977,8804183
BFA,1977,6398937
BDI,1977,3825484
CPV,1977,275479
KHM,1977,7222050
CMR,1977,8187840
CAN,1977,23796000
CYM,1977,13840
CAF,1977,2108417
TCD,1977,4254770
CHI,1977,127190
CHL,1977,10746328
CHN,1977,943455000
COL,1977,25905124
COM,1977,275496
ZAR,1977,24242643
COG,1977,1651134
CRI,1977,2207727
CIV,1977,7237451
HRV,1977,4532000
CUB,1977,9634677
CUW,1977,149459
CYP,1977,665528
CZE,1977,10186755
DNK,1977,5088419
DJI,1977,277622
DMA,1977,73411
DOM,1977,5411867
ECU,1977,7374235
EGY,1977,40377668
SLV,1977,4328817
GNQ,1977,220352
ERI,1977,2188806
EST,1977,1450211
ETH,1977,33614153
FRO,1977,41447
FJI,1977,598258
FIN,1977,4738902
FRA,1977,54764462
PYF,1977,138867
GAB,1977,678786
GMB,1977,551823
GEO,1977,4372100
DEU,1977,78159814
GHA,1977,10189889
GRC,1977,9308479
GRL,1977,49400
GRD,1977,90187
GUM,1977,97476
GTM,1977,6579710
GIN,1977,4393551
GNB,1977,805481
GUY,1977,762445
HTI,1977,5341418
HND,1977,3306988
HKG,1977,4583700
HUN,1977,10648031
ISL,1977,221799
IND,1977,650907559
IDN,1977,137322122
IRN,1977,34814231
IRQ,1977,12460997
IRL,1977,3282200
IMY,1977,62934
ISR,1977,3613000
ITA,1977,55955411
JAM,1977,2059399
JPN,1977,113863000
JOR,1977,1946630
KAZ,1977,14070681
KEN,1977,14527187
KIR,1977,56815
PRK,1977,16758826
KOR,1977,36411795
KSV,1977,1430000
KWT,1977,1180939
KGZ,1977,3423900
LAO,1977,3131492
LVA,1977,2485073
LBN,1977,2606224
LSO,1977,1208836
LBR,1977,1724313
LBY,1977,2840378
LIE,1977,24444
LTU,1977,3355036
LUX,1977,361358
MAC,1977,243729
MKD,1977,1851068
MDG,1977,8031589
MWI,1977,5627788
MYS,1977,12891715
MDV,1977,144645
MLI,1977,6712545
MLT,1977,306970
MHL,1977,27470
MRT,1977,1407621
MUS,1977,921379
MEX,1977,64337694
FSM,1977,66110
MDA,1977,3312000
MCO,1977,25809
MNG,1977,1562212
MNE,1977,559114
MAR,1977,18688782
MOZ,1977,11001909
MMR,1977,32130696
"NAM",1977,949734
NPL,1977,13913775
NLD,1977,13856185
NCL,1977,136000
NZL,1977,3120200
NIC,1977,2973805
NER,1977,5476206
NGA,1977,67425435
MNP,1977,15293
NOR,1977,4043205
OMN,1977,977806
PAK,1977,70953777
PLW,1977,12225
PAN,1977,1837887
PNG,1977,2967620
PRY,1977,2935375
PER,1977,16061327
PHL,1977,43650333
POL,1977,34689050
PRT,1977,9455675
PRI,1977,3088690
QAT,1977,182370
ROM,1977,21756096
RUS,1977,136100000
RWA,1977,4648070
WSM,1977,153244
SMR,1977,20301
STP,1977,87436
SAU,1977,8295384
SEN,1977,5160313
SRB,1977,NA
SYC,1977,61742
SLE,1977,2886607
SGP,1977,2325300
SXM,1977,NA
SVK,1977,4840501
SVN,1977,1842377
SLB,1977,207942
SOM,1977,4754149
ZAF,1977,25805575
SSD,1977,4329467
ESP,1977,36370050
LKA,1977,13942000
KNA,1977,43946
LCA,1977,112826
MAF,1977,6778
VCT,1977,97649
SDN,1977,12958110
SUR,1977,361053
SWZ,1977,550135
SWE,1977,8251540
CHE,1977,6281174
SYR,1977,8088148
TJK,1977,3608761
TZA,1977,17018013
THA,1977,44416007
TMP,1977,630151
TGO,1977,2518566
TON,1977,90296
TTO,1977,1039757
TUN,1977,5889693
TUR,1977,41020211
TKM,1977,2655036
TCA,1977,6886
TUV,1977,7816
UGA,1977,11470741
UKR,1977,49290087
ARE,1977,722849
GBR,1977,56193492
USA,1977,220239000
URY,1977,2857107
UZB,1977,14762133
VUT,1977,106223
VEN,1977,14127790
VNM,1977,50295000
VIR,1977,93000
WBG,1977,NA
YEM,1977,7226885
ZMB,1977,5343550
ZWE,1977,6580739
ARB,1978,154178332
CSS,1978,5350330
CEB,1978,105304312
EAS,1978,1512546753
EAP,1978,1318387202
EMU,1978,299916557
ECS,1978,783236424
ECA,1978,205593316
EUU,1978,460706924
FCS,1978,191569506
HPC,1978,257558535
HIC,1978,1095834109
NOC,1978,236180318
OEC,1978,859653791
LCN,1978,348391181
LAC,1978,287721149
LDC,1978,373921370
LMY,1978,3189060100
LIC,1978,240521361
LMC,1978,1432919504
MEA,1978,173702119
MNA,1978,157293292
MIC,1978,2948538739
"NAC",1978,246674600
OED,1978,967632509
OSS,1978,9666095
PSS,1978,1353818
SST,1978,16370243
SAS,1978,858266916
SSF,1978,362076216
SSA,1978,361798225
UMC,1978,1515619235
WLD,1978,4284894209
AFG,1978,13222547
ALB,1978,2566266
DZA,1978,18212331
ASM,1978,31105
ADO,1978,33746
AGO,1978,7717139
ATG,1978,70508
ARG,1978,27277742
ARM,1978,2991954
ABW,1978,60106
AUS,1978,14358000
AUT,1978,7562305
AZE,1978,5975045
BHS,1978,201511
BHR,1978,323511
BGD,1978,76948378
BRB,1978,250035
BLR,1978,9525000
BEL,1978,9839534
BLZ,1978,138972
BEN,1978,3523270
BMU,1978,53600
BTN,1978,387731
BOL,1978,5350320
BIH,1978,4073480
BWA,1978,923305
BRA,1978,116532153
BRN,1978,180357
BGR,1978,8814032
BFA,1978,6530820
BDI,1978,3917866
CPV,1978,278152
KHM,1978,6982522
CMR,1978,8425707
CAN,1978,24036000
CYM,1978,14663
CAF,1978,2158844
TCD,1978,4336389
CHI,1978,127394
CHL,1978,10907901
CHN,1978,956165000
COL,1978,26502172
COM,1978,286583
ZAR,1978,24948113
COG,1978,1699781
CRI,1978,2266153
CIV,1978,7569558
HRV,1978,4556000
CUB,1978,9711393
CUW,1978,148341
CYP,1978,673252
CZE,1978,10242098
DNK,1978,5104248
DJI,1978,308213
DMA,1978,74239
DOM,1978,5543520
ECU,1978,7571953
EGY,1978,41324806
SLV,1978,4415625
GNQ,1978,215284
ERI,1978,2251129
EST,1978,1460188
ETH,1978,34053431
FRO,1978,41946
FJI,1978,609348
FIN,1978,4752528
FRA,1978,54947975
PYF,1978,143033
GAB,1978,694734
GMB,1978,567828
GEO,1978,4397700
DEU,1978,78091820
GHA,1978,10354490
GRC,1978,9429959
GRL,1978,49200
GRD,1978,89070
GUM,1978,99628
GTM,1978,6754258
GIN,1978,4416074
GNB,1978,819371
GUY,1978,773227
HTI,1978,5450550
HND,1978,3413426
HKG,1978,4667500
HUN,1978,10684822
ISL,1978,223537
IND,1978,665936435
IDN,1978,140665859
IRN,1978,35977589
IRQ,1978,12859226
IRL,1978,3329100
IMY,1978,63918
ISR,1978,3690000
ITA,1978,56155143
JAM,1978,2080307
JPN,1978,114898000
JOR,1978,2021107
KAZ,1978,14215111
KEN,1978,15081598
KIR,1978,57664
PRK,1978,16953621
KOR,1978,36969185
KSV,1978,1460000
KWT,1978,1247597
KGZ,1978,3487100
LAO,1978,3164146
LVA,1978,2497921
LBN,1978,2604875
LSO,1978,1241159
LBR,1978,1775200
LBY,1978,2952877
LIE,1978,24963
LTU,1978,3379514
LUX,1978,362007
MAC,1978,242458
MKD,1978,1877687
MDG,1978,8268902
MWI,1978,5807170
MYS,1978,13191699
MDV,1978,148797
MLI,1978,6831530
MLT,1978,310182
MHL,1978,28399
MRT,1978,1448664
MUS,1978,933499
MEX,1978,66025613
FSM,1978,68221
MDA,1978,3339000
MCO,1978,26086
MNG,1978,1603908
MNE,1978,564213
MAR,1978,19133462
MOZ,1978,11320103
MMR,1978,32895739
"NAM",1978,970569
NPL,1978,14228941
NLD,1978,13941700
NCL,1978,137500
NZL,1978,3121200
NIC,1978,3065118
NER,1978,5635954
NGA,1978,69512233
MNP,1978,15390
NOR,1978,4058671
OMN,1978,1032799
PAK,1978,73204087
PLW,1978,12151
PAN,1978,1884512
PNG,1978,3047769
PRY,1978,3012833
PER,1978,16491087
PHL,1978,44866279
POL,1978,34965600
PRT,1978,9558250
PRI,1978,3129421
QAT,1978,192018
ROM,1978,21951464
RUS,1978,137060000
RWA,1978,4804375
WSM,1978,154010
SMR,1978,20663
STP,1978,90095
SAU,1978,8785326
SEN,1978,5289445
SRB,1978,NA
SYC,1978,62707
SLE,1978,2951001
SGP,1978,2353600
SXM,1978,NA
SVK,1978,4890125
SVN,1978,1862548
SLB,1978,215353
SOM,1978,5289049
ZAF,1978,26355319
SSD,1978,4442665
ESP,1978,36872506
LKA,1978,14190000
KNA,1978,43704
LCA,1978,114551
MAF,1978,7035
VCT,1978,98634
SDN,1978,13429688
SUR,1978,361463
SWZ,1978,567560
SWE,1978,8275599
CHE,1978,6281738
SYR,1978,8363346
TJK,1978,3707624
TZA,1978,17556148
THA,1978,45423442
TMP,1978,606295
TGO,1978,2576468
TON,1978,91360
TTO,1978,1054109
TUN,1978,6049539
TUR,1978,41953105
TKM,1978,2723006
TCA,1978,7057
TUV,1978,7883
UGA,1978,11817951
UKR,1978,49525597
ARE,1978,827394
GBR,1978,56196504
USA,1978,222585000
URY,1978,2875970
UZB,1978,15148932
VUT,1978,109429
VEN,1978,14525929
VNM,1978,51436000
VIR,1978,96000
WBG,1978,NA
YEM,1978,7485921
ZMB,1978,5532350
ZWE,1978,6796946
ARB,1979,159346617
CSS,1979,5409054
CEB,1979,105924838
EAS,1979,1535745945
EAP,1979,1339265399
EMU,1979,301109767
ECS,1979,788431684
ECA,1979,208151377
EUU,1979,462498335
FCS,1979,196932449
HPC,1979,264368402
HIC,1979,1105455387
NOC,1979,239533579
OEC,1979,865921808
LCN,1979,356288443
LAC,1979,294563608
LDC,1979,383418369
LMY,1979,3254965161
LIC,1979,245995521
LMC,1979,1467887007
MEA,1979,179237925
MNA,1979,161932634
MIC,1979,3008969640
"NAC",1979,249385800
OED,1979,976522691
OSS,1979,9887586
PSS,1979,1382648
SST,1979,16679288
SAS,1979,878939779
SSF,1979,372390972
SSA,1979,372112364
UMC,1979,1541082633
WLD,1979,4360420548
AFG,1979,13283279
ALB,1979,2617832
DZA,1979,18760761
ASM,1979,31670
ADO,1979,34819
AGO,1979,7952882
ATG,1979,70553
ARG,1979,27684530
ARM,1979,3044564
ABW,1979,59978
AUS,1979,14514000
AUT,1979,7549425
AZE,1979,6068531
BHS,1979,206038
BHR,1979,342829
BGD,1979,79141947
BRB,1979,251176
BLR,1979,9584000
BEL,1979,9848382
BLZ,1979,141308
BEN,1979,3618509
BMU,1979,53800
BTN,1979,400378
BOL,1979,5469123
BIH,1979,4107135
BWA,1979,959666
BRA,1979,119341444
BRN,1979,186786
BGR,1979,8825940
BFA,1979,6671659
BDI,1979,4018927
CPV,1979,281555
KHM,1979,6795102
CMR,1979,8673666
CAN,1979,24277000
CYM,1979,15447
CAF,1979,2213888
TCD,1979,4421448
CHI,1979,127694
CHL,1979,11070198
CHN,1979,969005000
COL,1979,27113510
COM,1979,297765
ZAR,1979,25656486
COG,1979,1749859
CRI,1979,2326708
CIV,1979,7912390
HRV,1979,4571000
CUB,1979,9777287
CUW,1979,147851
CYP,1979,680013
CZE,1979,10292341
DNK,1979,5116801
DJI,1979,336254
DMA,1979,74923
DOM,1979,5675930
ECU,1979,7772652
EGY,1979,42321740
SLV,1979,4498757
GNQ,1979,215014
ERI,1979,2316054
EST,1979,1468333
ETH,1979,34569428
FRO,1979,42468
FJI,1979,621541
FIN,1979,4764690
FRA,1979,55130594
PYF,1979,147299
GAB,1979,711544
GMB,1979,585155
GEO,1979,4430200
DEU,1979,78126350
GHA,1979,10550770
GRC,1979,9548258
GRL,1979,49600
GRD,1979,88571
GUM,1979,101846
GTM,1979,6933492
GIN,1979,4451872
GNB,1979,834068
GUY,1979,781677
HTI,1979,5566265
HND,1979,3523283
HKG,1979,4929700
HUN,1979,10704152
ISL,1979,225735
IND,1979,681358553
IDN,1979,144053516
IRN,1979,37256771
IRQ,1979,13257910
IRL,1979,3373750
IMY,1979,64680
ISR,1979,3786000
ITA,1979,56317749
JAM,1979,2104141
JPN,1979,115870000
JOR,1979,2099312
KAZ,1979,14362417
KEN,1979,15661414
KIR,1979,58509
PRK,1979,17151321
KOR,1979,37534236
KSV,1979,1491000
KWT,1979,1315428
KGZ,1979,3552000
LAO,1979,3202270
LVA,1979,2505953
LBN,1979,2602573
LSO,1979,1274216
LBR,1979,1830963
LBY,1979,3069540
LIE,1979,25447
LTU,1979,3397842
LUX,1979,362856
MAC,1979,243073
MKD,1979,1902718
MDG,1979,8507958
MWI,1979,5986639
MYS,1979,13504433
MDV,1979,153285
MLI,1979,6956779
MLT,1979,313342
MHL,1979,29416
MRT,1979,1490811
MUS,1979,949888
MEX,1979,67688533
FSM,1979,70550
MDA,1979,3366000
MCO,1979,26391
MNG,1979,1646291
MNE,1979,568966
MAR,1979,19595092
MOZ,1979,11635174
MMR,1979,33675835
"NAM",1979,991365
NPL,1979,14554356
NLD,1979,14038270
